x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-98.875,49.60611111111111,3609,HOLLAND,MB,MANITOBA,CAN,493622000,-985230000,CST,374.9,5021302,,,Climate-Staffed,E,1,6,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1984-01-01 0:00,2024-02-03 0:00,,,1984-08-01 0:00,2024-02-03 0:00,1984-01-01 0:00,2007-11-01 0:00,Y,N,N
-57.33333333,48.166666666666664,6586,BURNT POND,NL,NEWFOUNDLAND,CAN,481000000,-572000000,NST,298.7,8400812,,,Climate-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1972-01-01 0:00,2024-02-03 0:00,,,1972-07-01 0:00,2024-02-03 0:00,1972-01-01 0:00,2006-02-01 0:00,Y,N,N
-57.43333333,49.166666666666664,6614,DEER LAKE,NL,NEWFOUNDLAND,CAN,491000000,-572600000,NST,10.7,8401500,,,Climate-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1933-01-01 0:00,2024-02-02 0:00,,,1933-03-01 0:00,2024-02-02 0:00,1933-01-01 0:00,2006-02-01 0:00,Y,Y,N
-103.7530278,51.257416666666664,2930,KELLIHER,SK,SASKATCHEWAN,CAN,511526700,-1034510900,CST,675.6,4013660,,,Climate-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1951-01-01 0:00,2024-02-01 0:00,,,1951-11-01 0:00,2024-02-01 0:00,1951-01-01 0:00,2007-11-01 0:00,N,Y,N
-112.7675,49.695,2265,LETHBRIDGE CDA,AB,ALBERTA,CAN,494142000,-1124603000,MST,910,3033890,WQL,71243,Climate-Auto,D,1,5,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1908-01-01 0:00,2024-02-06 12:30,1994-06-07 10:00,2024-02-06 12:30,1908-02-01 0:00,2024-02-06 0:00,1908-01-01 0:00,2007-11-01 0:00,Y,N,Y
-99.53000083,50.71194472222222,3853,MCCREARY,MB,MANITOBA,CAN,504243001,-993148003,CST,351,5043158,WOO,71149,Climate-Auto,A,1,1,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1971-01-01 0:00,2024-02-06 12:30,1997-07-27 1:00,2024-02-06 12:30,1971-05-01 0:00,2024-02-06 0:00,1971-01-01 0:00,2007-11-01 0:00,Y,Y,N
-63.83333333,44.766666666666666,6435,POCKWOCK LAKE,NS,NOVA SCOTIA,CAN,444600000,-635000000,AST,164.6,8204453,,,Climate-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1979-01-01 0:00,2024-02-05 0:00,,,1979-01-01 0:00,2024-02-05 0:00,1979-01-01 0:00,2006-02-01 0:00,Y,Y,N
-105.9791833,49.167788888888886,3193,ROCKGLEN (AUT),SK,SASKATCHEWAN,CAN,491004040,-1055845060,CST,917,4036844,WKO,71135,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1970-12-01 0:00,2024-02-06 12:30,1970-12-08 9:00,2024-02-06 12:30,1970-12-01 0:00,2024-02-06 0:00,1971-01-01 0:00,2007-11-01 0:00,Y,N,Y
-63.5,44.63333333333333,6465,SHEARWATER A,NS,NOVA SCOTIA,CAN,443800000,-633000000,AST,44,8205090,YAW,71601,N/A,A,1,1,DND,MDN,Department of National Defence,Minist̬re de la D̩fense nationale,1944-01-01 0:00,2024-02-06 12:30,1953-01-01 0:00,2024-02-06 12:30,1944-02-01 0:00,2007-12-12 0:00,1944-01-01 0:00,2007-03-01 0:00,Y,Y,Y
-104,53.333333333333336,10195,NIPAWIN,SK,SASKATCHEWAN,CAN,532000000,-1040000000,CST,371.9,407N51G,WBU,71312,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1994-02-01 1:15,2024-02-06 12:30,1994-02-01 1:15,2024-02-06 12:30,1996-11-01 0:00,2024-02-06 0:00,1997-03-01 0:00,2007-10-01 0:00,Y,N,Y
-103.2833333,56.333333333333336,10242,SOUTHEND,SK,SASKATCHEWAN,CAN,562000000,-1031700000,CST,344.1,4067655,WJH,71451,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1992-12-01 0:00,2024-02-06 12:30,1994-02-01 1:00,2024-02-06 12:30,1992-12-01 0:00,2024-02-06 0:00,1996-01-01 0:00,2007-11-01 0:00,Y,N,Y
-104.6,52.81666666666667,10727,MELFORT,SK,SASKATCHEWAN,CAN,524900000,-1043600000,CST,490,4055079,WFF,71456,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1992-12-01 0:00,2024-02-06 12:30,1994-02-01 1:00,2024-02-06 12:30,1992-12-01 0:00,2024-02-06 0:00,1996-04-01 0:00,2007-11-01 0:00,Y,N,Y
-107.55,53.36666666666667,10850,SPIRITWOOD WEST,SK,SASKATCHEWAN,CAN,532200000,-1073300000,CST,584.3,4067723,WSR,71133,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1992-12-01 0:00,2024-02-06 12:30,1994-02-01 1:00,2024-02-06 12:30,1992-12-01 0:00,2024-02-06 0:00,1996-05-01 0:00,2007-08-01 0:00,Y,N,N
-98.036675,50.49945666666667,10881,OAKPOINT MARINE,MB,MANITOBA,CAN,502958044,-980212030,CST,249.6,504K0NM,WOJ,71144,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1994-02-01 1:00,2024-02-06 12:30,1994-02-01 1:00,2024-02-06 12:30,1994-07-06 0:00,2024-02-06 0:00,1996-08-01 0:00,2007-10-01 0:00,Y,N,N
-101.3627967,51.18333833333333,27119,ROBLIN,MB,MANITOBA,CAN,511100018,-1012146068,CST,539.5,5012469,WXB,71553,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1996-03-01 0:00,2024-02-06 12:30,1996-08-29 9:00,2024-02-06 12:30,1996-03-01 0:00,2024-02-06 0:00,1996-03-01 0:00,2007-11-01 0:00,Y,N,N
-63.08305556,46.41638888888889,6545,STANHOPE,PE,PRINCE EDWARD ISLAND,CAN,462459000,-630459000,AST,3,8300590,ANH,,Climate-Staffed,D,1,5,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1961-01-01 0:00,2024-02-06 12:30,2013-12-10 11:00,2024-02-06 12:30,1961-06-01 0:00,2024-02-06 0:00,1961-01-01 0:00,2007-07-01 0:00,Y,N,N
-97.12944639,49.88833555555556,28051,WINNIPEG THE FORKS,MB,MANITOBA,CAN,495318008,-970746007,CST,230,5023262,XWN,71579,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1999-11-01 0:00,2024-02-06 12:30,1999-11-01 12:00,2024-02-06 12:30,1999-11-01 0:00,2024-02-06 0:00,1999-11-01 0:00,2007-11-01 0:00,Y,N,Y
-114.1083583,53.54750166666667,1870,EDMONTON STONY PLAIN,AB,ALBERTA,CAN,533251006,-1140630090,MST,766.3,301222F,WSE,71119,Aviation-Staffed,A,1,1,DND,MDN,Department of National Defence,Minist̬re de la D̩fense nationale,1966-01-01 0:00,2024-02-05 0:00,1994-02-01 0:00,2019-06-27 8:00,1966-02-01 0:00,2024-02-05 0:00,1966-01-01 0:00,2017-12-01 0:00,Y,Y,Y
-112.8680556,53.68277777777778,1873,ELK ISLAND NAT PARK,AB,ALBERTA,CAN,534058000,-1125205000,MST,716.2,3012275,WFE,71238,Climate-Auto,E,1,6,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1981-01-01 0:00,2024-02-06 12:30,1994-02-01 0:00,2024-02-06 12:30,1981-11-01 0:00,2024-02-06 0:00,1981-01-01 0:00,2007-11-01 0:00,Y,N,N
-113.1833333,53.71666666666667,1886,FORT SASKATCHEWAN,AB,ALBERTA,CAN,534300000,-1131100000,MST,620,3012710,,,Climate-Staffed,C,1,4,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1958-01-01 0:00,2024-01-09 0:00,,,1958-03-01 0:00,2024-01-09 0:00,1958-01-01 0:00,2007-11-01 0:00,Y,Y,N
-101.2028056,49.926722222222224,3460,ELKHORN 2 EAST,MB,MANITOBA,CAN,495536200,-1011210100,CST,497.5,5010QFQ,,,Climate-Staffed,F,1,7,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1987-01-01 0:00,2024-01-30 0:00,,,1987-07-01 0:00,2024-01-30 0:00,1987-01-01 0:00,2007-11-01 0:00,Y,N,N
-110.55,52.016666666666666,1935,MONITOR,AB,ALBERTA,CAN,520100000,-1103300000,MST,731.5,3014600,,,Climate-Staffed,E,1,6,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1983-01-01 0:00,2024-02-05 0:00,,,1983-04-01 0:00,2024-02-05 0:00,1983-01-01 0:00,2007-11-01 0:00,Y,Y,N
-79.46778833,43.78002,26953,TORONTO NORTH YORK,ON,ONTARIO,CAN,434648072,-792804038,EST,187,615S001,,,Climate-Staffed,F,1,7,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1994-01-01 0:00,2024-02-03 0:00,,,1994-11-01 0:00,2024-02-03 0:00,1994-01-01 0:00,2006-12-01 0:00,Y,N,N
-79.25,42.88333333333333,4671,PORT COLBORNE,ON,ONTARIO,CAN,425300000,-791500000,EST,175.3,6136606,,,Climate-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,R̩seau coop̩ratif de stations climatiques,1964-01-01 0:00,2024-02-05 0:00,,,1964-07-01 0:00,2024-02-05 0:00,1964-01-01 0:00,2006-12-01 0:00,N,Y,N
-82.9,42.03333333333333,30266,HARROW CDA AUTO,ON,ONTARIO,CAN,420200000,-825400000,EST,191,6133362,XHA,71298,Climate-Auto,G,1,9,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,2000-07-25 0:00,2024-02-06 12:30,2000-07-25 17:00,2024-02-06 12:30,2000-07-25 0:00,2024-02-06 0:00,2000-10-01 0:00,2006-12-01 0:00,Y,N,Y
-60.06166667,50.16305555555556,5672,CAPE WHITTLE,QC,QUEBEC,CAN,500947000,-600342000,EST,7,7041100,WQW,71374,Climate-Auto,,1,9,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1963-01-01 0:00,2024-02-06 12:30,1994-02-03 10:00,2024-02-06 12:30,1963-09-01 0:00,2024-02-06 0:00,1963-01-01 0:00,1968-12-01 0:00,Y,N,N
-90.46666667,49.03333333333333,4057,UPSALA (AUT),ON,ONTARIO,CAN,490200000,-902800000,EST,488.5,6049095,WDV,71435,Climate-Auto,G,1,9,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service m̩t̩orologique du Canada,1972-01-01 0:00,2024-02-06 12:30,1994-02-01 3:00,2024-02-06 12:30,1973-01-01 0:00,2024-02-06 0:00,1972-01-01 0:00,2006-11-01 0:00,Y,N,Y
